Crash ID,Agency,Case ID,County,Crash Date,Crash Death Count,Latitude,Longitude,Person Death Count,Person Type
13922021,BEXAR COUNTY LAW ENFORCEMENT,2014BCSO-0228741,BEXAR,2014-07-09,1,29.21823532,-98.41253736,1,4 - PEDESTRIAN
13928288,SAN ANTONIO POLICE DEPARTMENT,SAPD14151783,BEXAR,2014-07-12,1,29.52651622,-98.38746866,1,4 - PEDESTRIAN
13960601,SAN ANTONIO POLICE DEPARTMENT,SAPD14152630,BEXAR,2014-07-14,1,29.49180487,-98.55799247,1,4 - PEDESTRIAN
13953837,SAN ANTONIO POLICE DEPARTMENT,SAPD14167904,BEXAR,2014-08-01,1,29.50972933,-98.40854028,1,4 - PEDESTRIAN
13964133,SAN ANTONIO POLICE DEPARTMENT,SAPD14171053,BEXAR,2014-08-05,1,29.46257433,-98.39976665,1,4 - PEDESTRIAN
13963699,SAN ANTONIO POLICE DEPARTMENT,SAPD14172848,BEXAR,2014-08-08,1,29.55981155,-98.59000241,1,4 - PEDESTRIAN
13979458,SAN ANTONIO POLICE DEPARTMENT,SAPD14174450,BEXAR,2014-08-09,1,29.3648585,-98.54269548,1,4 - PEDESTRIAN
13977169,SAN ANTONIO POLICE DEPARTMENT,SAPD14181008,BEXAR,2014-08-17,1,29.42533352,-98.52729885,1,4 - PEDESTRIAN
13995960,SAN ANTONIO POLICE DEPARTMENT,SAPD14187763,BEXAR,2014-08-25,1,29.39809463,-98.64964427,1,4 - PEDESTRIAN
14005453,SAN ANTONIO POLICE DEPARTMENT,SAPD14192846,BEXAR,2014-08-31,1,29.42942588,-98.54112046,1,4 - PEDESTRIAN
14050879,SAN ANTONIO POLICE DEPARTMENT,SAPD14215172,BEXAR,2014-09-27,1,29.33590249,-98.56481065,1,4 - PEDESTRIAN
14050522,SAN ANTONIO POLICE DEPARTMENT,SAPD14217020,BEXAR,2014-09-30,1,29.37567706,-98.50427231,1,4 - PEDESTRIAN
